date	hour	foreignExchangeBuy	foreignExchangeSale	moneyBuy	moneySale
2013-01-15	12:01	3.291	3.4996	3.2713	3.5199	
2013-01-15	08:04	3.291	3.4996	3.2713	3.5199	
2013-02-15	08:09	3.344	3.556	3.324	3.5767	
2013-02-15	12:19	3.344	3.556	3.324	3.5767	
2013-03-15	08:07	3.3219	3.5325	3.302	3.5531	
2013-03-15	11:56	3.3219	3.5325	3.302	3.5531	
2013-04-15	08:17	3.3368	3.5483	3.3168	3.569	
2013-04-15	13:07	3.3368	3.5483	3.3168	3.569	
2013-05-15	13:07	3.2957	3.5046	3.276	3.525	
2013-05-15	08:25	3.2957	3.5046	3.276	3.525	
2013-06-17	12:11	3.3932	3.6083	3.3729	3.6293	
2013-06-17	08:22	3.3932	3.6083	3.3729	3.6293	
2013-06-25	12:10	3.4731	3.6933	3.4523	3.7148	
2013-06-25	09:23	3.4731	3.6933	3.4523	3.7148	
2013-07-15	09:48	3.4238	3.6409	3.4033	3.6621	
2013-07-15	12:15	3.4238	3.6409	3.4033	3.6621	
2013-07-23	12:55	3.3626	3.5758	3.3425	3.5966	
2013-07-23	08:18	3.3626	3.5758	3.3425	3.5966	
2013-08-16	08:29	3.3665	3.58	3.3464	3.6008	
2013-08-16	15:56	3.3665	3.58	3.3464	3.6008	
2013-09-16	12:12	3.348	3.5602	3.328	3.581	
2013-09-16	08:50	3.348	3.5602	3.328	3.581	
2013-10-15	12:21	3.3389	3.5505	3.3189	3.5712	
2013-10-15	08:21	3.3389	3.5505	3.3189	3.5712	
2013-11-15	12:42	3.3456	3.5577	3.3256	3.5784	
2013-11-15	08:49	3.3456	3.5577	3.3256	3.5784	
2013-11-25	08:23	3.3621	3.5752	3.342	3.596	
2013-11-25	12:19	3.3621	3.5752	3.342	3.596	
2013-12-16	12:19	3.3727	3.5865	3.3525	3.6074	
2013-12-16	08:24	3.3727	3.5865	3.3525	3.6074	
2014-01-15	16:16	3.3063	3.5159	3.2865	3.5363	
2014-01-15	08:25	3.3063	3.5159	3.2865	3.5363	
2014-02-17	08:35	3.344	3.556	3.324	3.5767	
2014-02-17	14:02	3.344	3.556	3.324	3.5767	
2014-03-17	12:26	3.4339	3.6516	3.4133	3.6728	
2014-03-17	08:56	3.4339	3.6516	3.4133	3.6728	
2014-04-15	12:01	3.389	3.6038	3.3687	3.6248	
2014-04-15	08:34	3.389	3.6038	3.3687	3.6248	
2014-05-15	12:30	3.3851	3.5997	3.3649	3.6207	
2014-05-15	08:54	3.3851	3.5997	3.3649	3.6207	
2014-06-16	12:09	3.3529	3.5654	3.3328	3.5862	
2014-06-16	09:01	3.3529	3.5654	3.3328	3.5862	
2014-07-15	09:58	3.36	3.573	3.3399	3.5938	
2014-07-15	12:34	3.36	3.573	3.3399	3.5938	
2014-08-18	11:48	3.4148	3.6312	3.3943	3.6524	
2014-08-18	08:47	3.4148	3.6312	3.3943	3.6524	
2014-08-22	08:40	3.4085	3.6246	3.3881	3.6457	
2014-08-22	11:49	3.4085	3.6246	3.3881	3.6457	
2014-09-15	08:57	3.4271	3.6443	3.4066	3.6655	
2014-09-15	11:40	3.4271	3.6443	3.4066	3.6655	
2014-09-18	08:38	3.4058	3.6217	3.3854	3.6428	
2014-09-18	11:34	3.4058	3.6217	3.3854	3.6428	
2014-09-23	11:38	3.411	3.6272	3.3906	3.6483	
2014-09-23	08:43	3.411	3.6272	3.3906	3.6483	
2014-10-15	11:46	3.4324	3.65	3.4119	3.6712	
2014-10-15	08:39	3.4324	3.65	3.4119	3.6712	
2014-11-17	13:28	3.469	3.6889	3.4482	3.7104	
2014-11-17	08:45	3.469	3.6889	3.4482	3.7104	
2014-12-15	11:43	3.4325	3.6501	3.412	3.6713	
2014-12-15	08:45	3.4325	3.6501	3.412	3.6713	
2015-01-15	12:13	4.0992	4.359	4.0746	4.3844	
2015-01-15	08:40	3.4908	3.7121	3.4699	3.7337	
2015-01-15	11:18	4.0709	4.329	4.0465	4.3541	
2015-01-15	16:41	4.006	4.2599	3.982	4.2847	
2015-01-15	11:48	4.0992	4.359	4.0746	4.3844	
2015-01-19	08:46	4.2431	4.5121	4.2177	4.5383	
2015-01-19	12:13	4.2431	4.5121	4.2177	4.5383	
2015-01-20	08:41	4.1881	4.4536	4.163	4.4795	
2015-01-20	12:14	4.1881	4.4536	4.163	4.4795	
2015-02-16	11:43	3.8809	4.1269	3.8576	4.1509	
2015-02-16	08:42	3.8809	4.1269	3.8576	4.1509	
2015-03-16	11:56	3.8609	4.1056	3.8378	4.1295	
2015-03-16	08:44	3.8609	4.1056	3.8378	4.1295	
2015-04-15	12:01	3.8185	4.0605	3.7956	4.0842	
2015-04-15	08:43	3.8185	4.0605	3.7956	4.0842	
2015-05-15	11:48	3.8492	4.0932	3.8261	4.117	
2015-05-15	14:06	3.8022	4.0432	3.7794	4.0667	
2015-05-15	08:44	3.8492	4.0932	3.8261	4.117	
2015-06-15	12:17	3.9186	4.1671	3.8952	4.1913	
2015-06-15	08:45	3.9186	4.1671	3.8952	4.1913	
2015-06-19	12:11	3.9306	4.1798	3.9071	4.2041	
2015-06-19	08:30	3.9306	4.1798	3.9071	4.2041	
2015-07-15	08:48	3.9098	4.1577	3.8864	4.1819	
2015-07-15	12:44	3.9098	4.1577	3.8864	4.1819	
2015-08-17	08:53	3.8032	4.0443	3.7804	4.0678	
2015-08-17	12:46	3.8032	4.0443	3.7804	4.0678	
2015-09-15	08:41	3.7955	4.0361	3.7728	4.0596	
2015-09-15	12:02	3.7955	4.0361	3.7728	4.0596	
2015-10-15	12:54	3.8274	4.0701	3.8045	4.0937	
2015-10-15	08:46	3.8274	4.0701	3.8045	4.0937	
2015-11-16	08:47	3.871	4.1164	3.8479	4.1404	
2015-11-16	12:24	3.871	4.1164	3.8479	4.1404	
2015-11-23	12:27	3.8585	4.1031	3.8355	4.127	
2015-11-23	08:45	3.8585	4.1031	3.8355	4.127	
2015-12-15	12:05	3.9679	4.2195	3.9442	4.244	
2015-12-15	08:42	3.9679	4.2195	3.9442	4.244	
2016-01-15	14:57	3.9667	4.2182	3.943	4.2427	
2016-01-15	12:06	3.9626	4.2138	3.9389	4.2384	
2016-01-15	08:43	3.9626	4.2138	3.9389	4.2384	
2016-01-21	08:46	4.0637	4.3213	4.0394	4.3465	
2016-01-21	11:50	4.0637	4.3213	4.0394	4.3465	
2016-02-15	08:48	3.9412	4.191	3.9176	4.2154	
2016-02-15	12:07	3.9412	4.191	3.9176	4.2154	
2016-03-15	08:50	3.8492	4.0932	3.8262	4.117	
2016-03-15	12:14	3.8492	4.0932	3.8262	4.117	
2016-04-15	08:38	3.8912	4.1379	3.8679	4.1619	
2016-04-15	11:43	3.8912	4.1379	3.8679	4.1619	
2016-05-16	08:50	3.9155	4.1637	3.8921	4.188	
2016-05-16	12:57	3.9155	4.1637	3.8921	4.188	
2016-06-15	08:44	4.0276	4.2829	4.0035	4.3078	
2016-06-15	12:22	4.0276	4.2829	4.0035	4.3078	
