Data	Otwarcie	Max	Min	Zamkniêcie
2009-07-01	2.8531	2.8867	2.8525	2.8776
2009-07-02	2.8777	2.8826	2.8533	2.8611
2009-07-04	2.8614	2.8947	2.8542	2.8607
2009-07-05	2.8611	2.8970	2.8563	2.8796
2009-07-06	2.8796	2.9080	2.8700	2.9076
2009-07-07	2.9076	2.9323	2.8995	2.9194
2009-07-08	2.9192	2.9206	2.8650	2.8727
2009-07-09	2.8727	2.9008	2.8699	2.8841
2009-07-11	2.8874	2.8877	2.8849	2.8857
2009-07-12	2.8857	2.9132	2.8814	2.8955
2009-07-13	2.8954	2.8980	2.8173	2.8300
2009-07-14	2.8300	2.8374	2.8119	2.8247
2009-07-15	2.8253	2.8542	2.8134	2.8395
2009-07-16	2.8395	2.8553	2.8374	2.8452
2009-07-18	2.8502	2.8503	2.8453	2.8484
2009-07-19	2.8483	2.8495	2.7834	2.7907
2009-07-20	2.7907	2.8262	2.7836	2.8154
2009-07-21	2.8154	2.8210	2.7953	2.7967
2009-07-22	2.7970	2.7978	2.7641	2.7739
2009-07-23	2.7739	2.7811	2.7476	2.7489
2009-07-25	2.7539	2.7550	2.7521	2.7529
2009-07-26	2.7531	2.7547	2.7203	2.7253
2009-07-27	2.7254	2.7510	2.7215	2.7400
2009-07-28	2.7400	2.7625	2.7319	2.7407
2009-07-29	2.7407	2.7423	2.7058	2.7132
2009-07-30	2.7131	2.7272	2.7017	2.7154
2009-08-01	2.7201	2.7211	2.7165	2.7171
2009-08-02	2.7171	2.7182	2.6638	2.6670
2009-08-03	2.6670	2.7030	2.6631	2.6816
2009-08-04	2.6816	2.6971	2.6729	2.6836
2009-08-05	2.6836	2.7353	2.6760	2.7268
2009-08-06	2.7270	2.7294	2.6584	2.6623
2009-08-08	2.6710	2.6717	2.6631	2.6633
2009-08-09	2.6632	2.6917	2.6510	2.6786
2009-08-10	2.6784	2.7456	2.6776	2.7234
2009-08-11	2.7233	2.7582	2.7028	2.7098
2009-08-12	2.7099	2.7154	2.6789	2.6959
2009-08-13	2.6958	2.7313	2.6896	2.7231
2009-08-15	2.7202	2.7226	2.7196	2.7212
2009-08-16	2.7211	2.7639	2.7182	2.7539
2009-08-17	2.7538	2.7546	2.7321	2.7386
2009-08-18	2.7386	2.7681	2.7337	2.7389
2009-08-19	2.7387	2.7418	2.7262	2.7348
2009-08-20	2.7348	2.7428	2.6984	2.7074
2009-08-22	2.7089	2.7098	2.7070	2.7071
2009-08-23	2.7071	2.7166	2.6942	2.7043
2009-08-24	2.7043	2.7169	2.6795	2.6939
2009-08-25	2.6939	2.7096	2.6777	2.7075
2009-08-26	2.7075	2.7166	2.6970	2.7119
2009-08-27	2.7117	2.7117	2.6800	2.7013
2009-08-29	2.6979	2.6998	2.6965	2.6993
2009-08-30	2.6993	2.7112	2.6955	2.6986
2009-08-31	2.6987	2.7576	2.6867	2.7538
2009-09-01	2.7539	2.7603	2.7382	2.7445
2009-09-02	2.7445	2.7445	2.7183	2.7280
2009-09-03	2.7280	2.7285	2.6930	2.6966
2009-09-05	2.6978	2.7001	2.6952	2.6994
2009-09-06	2.6999	2.7193	2.6935	2.6988
2009-09-07	2.6988	2.7048	2.6904	2.6958
2009-09-08	2.6963	2.7229	2.6908	2.7229
2009-09-09	2.7228	2.7646	2.7157	2.7365
2009-09-10	2.7363	2.7715	2.7363	2.7555
2009-09-12	2.7536	2.7546	2.7520	2.7527
2009-09-13	2.7529	2.8083	2.7528	2.7713
2009-09-14	2.7712	2.7719	2.7294	2.7370
2009-09-15	2.7371	2.7374	2.7110	2.7148
2009-09-16	2.7193	2.7298	2.6961	2.7260
2009-09-17	2.7256	2.7401	2.7154	2.7357
2009-09-19	2.7275	2.7307	2.7269	2.7290
2009-09-20	2.7291	2.7556	2.7257	2.7530
2009-09-21	2.7532	2.7550	2.7376	2.7503
2009-09-22	2.7502	2.7830	2.7485	2.7662
2009-09-23	2.7667	2.7843	2.7481	2.7830
2009-09-24	2.7832	2.7967	2.7677	2.7900
